@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2287,'2025/02/28 23:17:21:450',6,-0.978687,-0.097209,-0.19517,0.563015,-0.339807,0.78709,0,0,?,?,?,?
2288,'2025/02/28 23:17:21:463',6,-0.978825,-0.097092,-0.195176,0.56375,-0.339799,0.786434,0,0,?,?,?,?
2289,'2025/02/28 23:17:21:476',6,-0.978988,-0.096804,-0.195113,0.565363,-0.339429,0.784224,0,0,?,?,?,?
2290,'2025/02/28 23:17:21:481',6,-0.979139,-0.096498,-0.195019,0.565363,-0.339429,0.784224,0,0,?,?,?,?
2291,'2025/02/28 23:17:21:491',6,-0.979279,-0.096141,-0.194885,0.56694,-0.340307,0.784207,0,0,?,?,?,?
2292,'2025/02/28 23:17:21:501',6,-0.979375,-0.095789,-0.194781,0.569613,-0.340516,0.784894,0,0,?,?,?,?
2293,'2025/02/28 23:17:21:513',6,-0.979404,-0.095518,-0.194705,0.572356,-0.340548,0.78581,0,0,?,?,?,?
2294,'2025/02/28 23:17:21:522',6,-0.979456,-0.09537,-0.194622,0.57429,-0.341088,0.787049,0,0,?,?,?,?
2295,'2025/02/28 23:17:21:532',6,-0.979526,-0.09531,-0.194552,0.575758,-0.341602,0.788477,0,0,?,?,?,?
2296,'2025/02/28 23:17:21:552',6,-0.979529,-0.095311,-0.194583,0.576855,-0.339828,0.790235,0,0,?,?,?,?
2297,'2025/02/28 23:17:21:553',6,-0.979498,-0.095346,-0.194709,0.576855,-0.339828,0.790235,0,0,?,?,?,?
2298,'2025/02/28 23:17:21:563',6,-0.979493,-0.095492,-0.194894,0.576235,-0.337503,0.790059,0,0,?,?,?,?
2299,'2025/02/28 23:17:21:578',6,-0.979513,-0.095723,-0.195148,0.576489,-0.336396,0.789915,0,0,?,?,?,?
2300,'2025/02/28 23:17:21:583',6,-0.979513,-0.095723,-0.195148,0.577661,-0.337084,0.79033,0,0,?,?,?,?
2301,'2025/02/28 23:17:21:593',6,-0.979738,-0.096234,-0.195698,0.579383,-0.339707,0.791414,0,0,?,?,?,?
2302,'2025/02/28 23:17:21:604',6,-0.98013,-0.096616,-0.19607,0.581386,-0.34346,0.792741,0,0,?,?,?,?
2303,'2025/02/28 23:17:21:614',6,-0.980619,-0.096997,-0.196346,0.583651,-0.347109,0.793773,0,0,?,?,?,?
2304,'2025/02/28 23:17:21:624',6,-0.981161,-0.097346,-0.196495,0.586062,-0.350231,0.793994,0,0,?,?,?,?
2305,'2025/02/28 23:17:21:634',6,-0.981634,-0.097694,-0.19654,0.588294,-0.352784,0.793058,0,0,?,?,?,?
2306,'2025/02/28 23:17:21:646',6,-0.981952,-0.098056,-0.196467,0.59008,-0.354858,0.790902,0,0,?,?,?,?
2307,'2025/02/28 23:17:21:656',6,-0.982145,-0.098283,-0.196256,0.592024,-0.356327,0.78724,0,0,?,?,?,?
2308,'2025/02/28 23:17:21:666',6,-0.982253,-0.098355,-0.195874,0.593788,-0.35754,0.783056,0,0,?,?,?,?
2309,'2025/02/28 23:17:21:677',6,-0.982294,-0.098371,-0.195309,0.595341,-0.358024,0.778471,0,0,?,?,?,?
2310,'2025/02/28 23:17:21:686',6,-0.982163,-0.098284,-0.194693,0.596533,-0.358059,0.774072,0,0,?,?,?,?
2311,'2025/02/28 23:17:21:696',6,-0.981761,-0.098138,-0.194145,0.596465,-0.358902,0.770159,0,0,?,?,?,?
2312,'2025/02/28 23:17:21:707',6,-0.981099,-0.09808,-0.193808,0.594772,-0.361472,0.767093,0,0,?,?,?,?
